prompt,draft_model,variable,value
41,1300,latency,4.466400146
41,1300,tar,0.8
42,1300,latency,7.178082705
42,1300,tar,0.5
43,1300,latency,7.056500912
43,1300,tar,0.40625
44,1300,latency,6.216995478
44,1300,tar,0.5
45,1300,latency,5.31609869
45,1300,tar,0.75
46,1300,latency,6.168438196
46,1300,tar,0.464285714
47,1300,latency,6.271041632
47,1300,tar,0.5
48,1300,latency,9.789431095
48,1300,tar,0.25
49,1300,latency,4.423551083
49,1300,tar,0.8
50,1300,latency,8.801419497
50,1300,tar,0.25
51,1300,latency,7.005921125
51,1300,tar,0.46875
52,1300,latency,6.210911274
52,1300,tar,0.535714286
53,1300,latency,7.008209944
53,1300,tar,0.375
54,1300,latency,6.279297352
54,1300,tar,0.571428571
55,1300,latency,6.159164429
55,1300,tar,0.5
56,1300,latency,8.104372025
56,1300,tar,0.333333333
57,1300,latency,7.169043064
57,1300,tar,0.46875
58,1300,latency,4.419901133
58,1300,tar,0.75
59,1300,latency,9.765905619
59,1300,tar,0.272727273
60,1300,latency,5.398843288
60,1300,tar,0.625
61,1300,latency,5.376425743
61,1300,tar,0.583333333
62,1300,latency,8.015744925
62,1300,tar,0.416666667
63,1300,latency,8.068298817
63,1300,tar,0.416666667
64,1300,latency,6.254633188
64,1300,tar,0.5
65,1300,latency,7.142012119
65,1300,tar,0.375
66,1300,latency,5.348312378
66,1300,tar,0.625
67,1300,latency,7.105264425
67,1300,tar,0.5
68,1300,latency,6.706978321
68,1300,tar,0.375
69,1300,latency,7.95072794
69,1300,tar,0.333333333
70,1300,latency,5.330418348
70,1300,tar,0.666666667
72,1300,latency,7.120331764
72,1300,tar,0.375
73,1300,latency,8.879303932
73,1300,tar,0.3
74,1300,latency,5.314457893
74,1300,tar,0.666666667
75,1300,latency,5.325358868
75,1300,tar,0.583333333
76,1300,latency,5.388890266
76,1300,tar,0.583333333
77,1300,latency,8.202090263
77,1300,tar,0.333333333
78,1300,latency,7.049239635
78,1300,tar,0.375
79,1300,latency,5.986986876
79,1300,tar,0.5
80,1300,latency,8.967013359
80,1300,tar,0.325
81,1300,latency,5.314338684
81,1300,tar,0.666666667
82,1300,latency,5.31159544
82,1300,tar,0.583333333
83,1300,latency,7.999108553
83,1300,tar,0.388888889
84,1300,latency,8.950423956
84,1300,tar,0.325
85,1300,latency,5.367963552
85,1300,tar,0.583333333
86,1300,latency,5.002522469
86,1300,tar,0.666666667
87,1300,latency,5.303560972
87,1300,tar,0.583333333
88,1300,latency,6.194677353
88,1300,tar,0.464285714
89,1300,latency,5.204209328
89,1300,tar,0.708333333
90,1300,latency,6.309888363
90,1300,tar,0.464285714
91,1300,latency,5.860442162
91,1300,tar,0.464285714
92,1300,latency,7.192879915
92,1300,tar,0.4375
93,1300,latency,6.18833828
93,1300,tar,0.464285714
94,1300,latency,7.924923897
94,1300,tar,0.305555556
95,1300,latency,10.61081147
95,1300,tar,0.229166667
96,1300,latency,6.215442181
96,1300,tar,0.571428571
97,1300,latency,3.360158682
97,1300,tar,1
98,1300,latency,6.370095015
98,1300,tar,0.464285714
99,1300,latency,4.359946728
99,1300,tar,0.75
0,350,latency,12.48453403
0,350,tar,0.142857143
1,350,latency,9.691678286
1,350,tar,0.227272727
2,350,latency,7.905415058
2,350,tar,0.305555556
3,350,latency,7.076236963
3,350,tar,0.375
4,350,latency,8.00254035
4,350,tar,0.305555556
5,350,latency,9.804132938
5,350,tar,0.295454545
6,350,latency,8.983792543
6,350,tar,0.3
7,350,latency,5.283410549
7,350,tar,0.625
8,350,latency,7.889489889
8,350,tar,0.305555556
9,350,latency,7.647995234
9,350,tar,0.388888889
10,350,latency,5.286071301
10,350,tar,0.625
11,350,latency,7.885068417
11,350,tar,0.305555556
12,350,latency,8.834539413
12,350,tar,0.275
13,350,latency,9.762576818
13,350,tar,0.25
14,350,latency,7.994425774
14,350,tar,0.305555556
15,350,latency,8.858651161
15,350,tar,0.25
16,350,latency,8.787870884
16,350,tar,0.35
17,350,latency,6.958133936
17,350,tar,0.5
18,350,latency,10.53522849
18,350,tar,0.1875
19,350,latency,10.87886667
19,350,tar,0.134615385
20,350,latency,7.819726229
20,350,tar,0.305555556
21,350,latency,5.244474888
21,350,tar,0.666666667
22,350,latency,7.107849836
22,350,tar,0.375
23,350,latency,6.167817116
23,350,tar,0.5
24,350,latency,8.886648178
24,350,tar,0.25
25,350,latency,7.125396252
25,350,tar,0.375
26,350,latency,8.844644785
26,350,tar,0.25
27,350,latency,8.849819183
27,350,tar,0.25
28,350,latency,9.820899248
28,350,tar,0.227272727
29,350,latency,9.735120773
29,350,tar,0.227272727
30,350,latency,10.68442154
30,350,tar,0.166666667
31,350,latency,5.358748674
31,350,tar,0.583333333
32,350,latency,7.176582336
32,350,tar,0.375
33,350,latency,7.202922821
33,350,tar,0.375
34,350,latency,8.054751635
34,350,tar,0.305555556
35,350,latency,9.830071688
35,350,tar,0.227272727
36,350,latency,11.58269477
36,350,tar,0.153846154
37,350,latency,9.8054564
37,350,tar,0.25
38,350,latency,7.959885597
38,350,tar,0.305555556
39,350,latency,8.966059685
39,350,tar,0.25
40,350,latency,8.812548876
40,350,tar,0.275
41,350,latency,7.101591825
41,350,tar,0.40625
42,350,latency,11.65058827
42,350,tar,0.153846154
43,350,latency,6.185634375
43,350,tar,0.464285714
44,350,latency,12.36339402
44,350,tar,0.107142857
45,350,latency,8.82053709
45,350,tar,0.275
46,350,latency,7.015728235
46,350,tar,0.40625
47,350,latency,8.022087336
47,350,tar,0.305555556
48,350,latency,13.31695366
48,350,tar,0.133333333
49,350,latency,6.170127869
49,350,tar,0.5
50,350,latency,4.393390417
50,350,tar,0.85
51,350,latency,8.704687119
51,350,tar,0.325
52,350,latency,7.080587864
52,350,tar,0.40625
53,350,latency,9.652041674
53,350,tar,0.227272727
54,350,latency,8.899031401
54,350,tar,0.3
55,350,latency,8.858914137
55,350,tar,0.275
56,350,latency,8.028505087
56,350,tar,0.305555556
57,350,latency,8.023689032
57,350,tar,0.305555556
58,350,latency,9.682244539
58,350,tar,0.204545455
59,350,latency,7.94086504
59,350,tar,0.333333333
60,350,latency,9.825845242
60,350,tar,0.204545455
61,350,latency,7.144497156
61,350,tar,0.46875
62,350,latency,8.000947714
62,350,tar,0.305555556
63,350,latency,10.68145776
63,350,tar,0.1875
64,350,latency,6.216130257
64,350,tar,0.464285714
65,350,latency,9.82000351
65,350,tar,0.204545455
